experiment,model,fold,R2,RMSE,MAE
Exp2_without_Ts_Fs,LinearRegression,1,-0.9833107670326002,9.800051694435414,9.167153571170207
Exp2_without_Ts_Fs,LinearRegression,2,0.0952972061090619,7.337747285638189,6.567830456677641
Exp2_without_Ts_Fs,LinearRegression,3,-0.41135097296142753,6.437499023275933,5.566784996476923
Exp2_without_Ts_Fs,LinearRegression,4,0.7752753646074269,3.0122804060299617,2.231700288868842
Exp2_without_Ts_Fs,LinearRegression,5,0.6170533115636254,5.059655197769552,3.7506827700689276
Exp2_without_Ts_Fs,RandomForest,1,0.2096710463258935,6.186384770933896,5.106133141249978
Exp2_without_Ts_Fs,RandomForest,2,-0.15612036181228528,8.29490296122957,6.625309174166684
Exp2_without_Ts_Fs,RandomForest,3,-0.9000511558369102,7.469341390375511,6.722587170370344
Exp2_without_Ts_Fs,RandomForest,4,-0.06777025786576063,6.5661222523667675,5.4025379250000185
Exp2_without_Ts_Fs,RandomForest,5,-0.33005588076801584,9.429457481005143,7.699415587847219
Exp2_without_Ts_Fs,SVR_RBF,1,0.24907695952752396,6.030185842447486,4.249987645414108
Exp2_without_Ts_Fs,SVR_RBF,2,0.5093262069969109,5.403886466646077,4.754396785347272
Exp2_without_Ts_Fs,SVR_RBF,3,-0.03832213203357071,5.521609869953544,4.738853843951418
Exp2_without_Ts_Fs,SVR_RBF,4,0.8318565962018744,2.605613357864042,2.1100277330710835
Exp2_without_Ts_Fs,SVR_RBF,5,0.4903008926525072,5.837255448035651,5.339322922146065
Exp2_without_Ts_Fs,XGBoost,1,0.7247368318798462,3.6509596549628607,2.8131872287483217
Exp2_without_Ts_Fs,XGBoost,2,0.4589884833182587,5.674309754393702,4.864300570964813
Exp2_without_Ts_Fs,XGBoost,3,-0.7404603735638082,7.148776715833779,6.523635674462213
Exp2_without_Ts_Fs,XGBoost,4,0.29706025671911296,5.32756925333389,4.56670246943156
Exp2_without_Ts_Fs,XGBoost,5,-0.034663362718011737,8.316705023226666,6.966500300006866
Exp2_without_Ts_Fs,LightGBM,1,0.6849067202146282,3.906182699127501,3.079760941315605
Exp2_without_Ts_Fs,LightGBM,2,0.30304317714025075,6.440398225470261,5.660988859044896
Exp2_without_Ts_Fs,LightGBM,3,-0.6227612218515299,6.9028267465526305,6.28126489950672
