model,group_id,n,RMSE,MAE
RandomForest,0,800,6.186384770933897,5.106133141249979
RandomForest,1,480,10.369020691439403,10.128165346527805
RandomForest,2,240,6.492891321990509,4.221282125000028
RandomForest,3,320,12.481955764417851,11.95672435520838
RandomForest,4,320,9.199356835972319,8.96588063020837
RandomForest,5,320,1.3041490406820004,0.9105937114583404
RandomForest,6,320,7.8757723485382325,7.7155554343750055
RandomForest,7,320,4.905318445781575,3.9929085427083053
RandomForest,8,340,5.679071121882038,4.284277317647034
RandomForest,9,320,2.502918208704934,2.240695150000036
RandomForest,10,320,2.9445802298496355,2.017304390624978
RandomForest,11,320,2.7767648998845957,2.3570788135416323
