model,group_id,n,RMSE,MAE
XGBoost,0,800,3.6509596549628607,2.8131872287483217
XGBoost,1,480,7.787508825340912,7.430161681292852
XGBoost,2,240,5.439401755120637,4.072268674672445
XGBoost,3,320,10.157869638272627,9.667554562129975
XGBoost,4,320,5.164616959571902,4.672741599712372
XGBoost,5,320,2.2764995498306986,1.8769026369667052
XGBoost,6,320,8.631911418195337,8.560676701164246
XGBoost,7,320,4.25237171978765,3.2560096890449524
XGBoost,8,340,5.428088967230392,4.228155381972369
XGBoost,9,320,4.014234544763742,3.3591019277858734
XGBoost,10,320,3.8136907640584843,2.9338096471023563
XGBoost,11,320,2.3525163029502454,2.049507831735611
